SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 94879, 124624, 0, 3, 4, 0, 1445838490, -1947899458, 0, 
2, 6847, 133968, 0, 2, 4, 0, 53539395, 1788010160, 0, 
3, 26752, 212191, 0, 2, 4, 0, 338561782, -1873293397, 0, 
4, 32421, 117246, 0, 5, 9, 0, 393209479, 803353819, 0, 
5, 98460, 97888, 0, 6, 6, 0, 910411594, 646417289, 0, 
6, 21174, 187564, 0, 2, 11, 0, 249005914, 1004938371, 0, 
7, 29241, 46666, 0, 4, 2, 0, 140491735, 147087991, 0, 
8, 58358, 41636, 0, 4, 6, 0, 491798031, 181847417, 0, 
9, 56095, 125748, 0, 2, 6, 0, 451150864, 334572049, 0, 
10, 22256, 135075, 0, 2, 6, 0, 292981837, 382113136, 0, 
11, 146178, 83613, 0, 7, 6, 0, 897439131, 220122595, 0, 
12, 1960, 85822, 0, 2, 3, 0, 12041569, 160204741, 0, 
13, 59625, 48751, 0, 3, 3, 0, 336218125, 275588836, 0, 
14, 18090, 78357, 0, 2, 4, 0, 50633878, 169585534, 0, 
15, 104578, 141556, 0, 7, 7, 0, 334556226, 263251276, 0, 
16, 28115, 107249, 0, 2, 4, 0, 163853203, 116219681, 0, 
17, 93618, 129800, 0, 5, 5, 0, 654700757, 206782083, 0, 
18, 34479, 125394, 0, 3, 4, 0, 105648342, 150503692, 0, 
19, 97126, 112355, 0, 7, 4, 0, 399187515, 136285269, 0, 
20, 118302, 190803, 0, 8, 13, 0, 486373451, 649791431, 0, 
21, 129046, 87325, 0, 7, 3, 0, 204938013, 60322332, 0, 
22, 57061, 65468, 0, 5, 3, 0, 74519216, 24393107, 0, 
23, 51854, 207046, 0, 7, 12, 0, 110395428, 597873587, 0, 
24, 98446, 36478, 0, 6, 3, 0, 328894384, 13309683, 0, 
25, 65438, 70501, 0, 4, 4, 0, 389687987, 102263317, 0, 
26, 58992, 97906, 0, 5, 4, 0, 35764407, 27462737, 0, 
27, 93934, 126328, 0, 8, 6, 0, 119772335, 176051046, 0, 
28, 44535, 106645, 0, 4, 12, 0, 41266887, 40836408, 0, 
29, 64552, 54711, 0, 3, 4, 0, 62373086, 25317536, 0, 
30, 340, 24378, 0, 2, 2, 0, 74343, 3538388, 0, 
31, 162392, 75888, 0, 12, 3, 0, 249263932, 44517796, 0, 
32, 125883, 208559, 0, 3, 10, 0, 341163505, 577604454, 0, 
33, 8313, 136302, 0, 2, 10, 0, 3035886, 211610137, 0, 
34, 122992, 65631, 0, 7, 4, 0, 251430125, 24905041, 0, 
35, 73911, 151146, 0, 4, 6, 0, 103656166, 154624877, 0, 
36, 0, 160393, 0, 0, 5, 0, 0, 301255741, 0, 
37, 61271, 34018, 0, 4, 4, 0, 139333279, 11478104, 0, 
38, 16503, 93755, 0, 2, 7, 0, 7739042, 32756532, 0, 
39, 84183, 151825, 0, 6, 7, 0, 83267958, 159491258, 0, 
40, 52645, 152231, 0, 5, 7, 0, 24141130, 150700801, 0, 
41, 112662, 121619, 0, 7, 6, 0, 216333115, 67505951, 0, 
42, 0, 81730, 0, 0, 3, 0, 0, 16024537, 0, 
43, 163837, 92749, 0, 4, 5, 0, 539318832, 27742298, 0, 
44, 5222, 63961, 0, 4, 3, 0, 14546038, 116026884, 0, 
45, 33117, 71084, 0, 4, 5, 0, 21583921, 33511957, 0, 
46, 141357, 30610, 0, 9, 3, 0, 170841599, 7001904, 0, 
47, 13, 215393, 0, 1, 9, 0, 38465, 273242555, 0, 
48, 20388, 140029, 0, 2, 7, 0, 8827052, 131341570, 0, 
49, 38666, 125224, 0, 3, 6, 0, 22102604, 64528976, 0, 
50, 60021, 61629, 0, 6, 6, 0, 106610968, 18243772, 0, 
51, 36898, 94162, 0, 3, 4, 0, 86178113, 36087342, 0, 
